会社名,担当者,電話番号,メールアドレス,カテゴリ,prtimesのURL,日時,連絡禁止,初回アポ済み
株式会社LAVA International,永倉（080-4249-3358）、濱田（080-7440-1488）、佐藤,"",lava_pr@ssu.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000060.000036736.html,2023-05-22 20:03:44,"",""
株式会社SOLIA,"",03-5772-1063,pr-all@solia.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000092.000010863.html,2023-05-22 20:04:48,"",""
株式会社ダイヤコーポレーション,川又,03-6910-5085,contact@favs-official.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000185.000042551.html,2023-05-22 20:05:17,"",""
株式会社ピー・エス・インターナショナル,渡邊,03-5484-3481,press@ps-intl.co.jp　FAX：03-5484-3484,ビューティー,https://prtimes.jp/main/html/rd/p/000000052.000005458.html,2023-05-22 20:05:45,"",""
株式会社わんわんわん,桐生奨太,090-9106-3595,info@wanwanwan.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000023.000089595.html,2023-05-22 20:06:16,"",""
ハリウッド株式会社,"",03-3403-5211,：press@hollywood-jp.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000452.000025648.html,2023-05-22 20:06:43,"",""
プレミアアンチエイジング株式会社,高桑・松岡・高村,"",pr@p-antiaging.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000104.000014975.html,2023-05-22 20:10:24,"",""
サンスター株式会社,"",072-682-5541,sunstarpr@jp.sunstar.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000387.000005120.html,2023-05-22 20:11:16,"",""
株式会社Rezony,佐武,03-6822-3970,satake@rezony.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000013.000042480.html,2023-05-22 20:11:48,"",""
株式会社MIGRIDS,"",0556-64-8087,pr@migrids-jp.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000018.000053718.html,2023-05-22 20:12:22,"",""
株式会社マッシュホールディングス,"",03-3261-2851,pr@f-organics.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000002020.000018505.html,2023-05-22 20:13:23,"",""
レブロン株式会社,レブロンPRチーム,03-5213-0514,revlon-pr@mediaglobe.co.jp）,ビューティー,https://prtimes.jp/main/html/rd/p/000000108.000034254.html,2023-05-22 20:13:54,"",""
株式会社メタボリック,"",03-6258-0724,k.nakabayashi@mdc.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000091.000028248.html,2023-05-22 20:14:22,"",""
株式会社ウエストワン,"",03-5786-1801,pr@workingforever100years.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000019.000066797.html,2023-05-22 20:14:55,"",""
株式会社晋遊舎,"",03-3219-0661,marketing@shinyusha.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000165.000017263.html,2023-05-22 20:16:00,"",""
ウンログ株式会社,"",03-6276-5587,pr@unlog.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000026.000057086.html,2023-05-22 20:16:27,"",""
株式会社ウェルネス,平井,"",info@wellness.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000028.000049636.html,2023-05-22 20:19:03,"",""
合同会社スマートルーチェ,"","",f.journey.e@gmail.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000108.000084907.html,2023-05-22 20:20:41,"",""
株式会社エイケー,"",03-6447-2129,shinozaki@akdesign.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000009.000059151.html,2023-05-22 20:22:08,"",""
株式会社ITC,"",078-642-3092,fujiwara-kenshi@sdc-holdings.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000221.000021838.html,2023-05-22 20:24:08,"",""
株式会社KYBメディカルサービス,"",03-5778-2113,satomi.kodera@kybclub.co.jp yuka.sato@kybclub.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000002.000121742.html,2023-05-22 20:25:55,"",""
株式会社bebe cosmetique,"","",contact@bebe.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000005.000114715.html,2023-05-22 20:26:56,"",""
医療法人社団全人会白金ビークリニック本院,"",03-6722-6319,ishihara@impresand.com　TEL：03-5050-4282,ビューティー,https://prtimes.jp/main/html/rd/p/000000001.000122236.html,2023-05-22 20:27:51,"",""
株式会社レバレッジ,吉田,03-6455-0045,pr@lev.co.jp 電話：03-6455-0045 FAX：03-6455-0046,ビューティー,https://prtimes.jp/main/html/rd/p/000000299.000024045.html,2023-05-22 20:28:56,"",""
株式会社FERNANDA JAPAN,井内純也,045-228-7789,iuchi@fernanda.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000036.000018938.html,2023-05-22 20:29:29,"",""
アイメディア株式会社,井上　啓太,"",k_inoue@aimedia.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000001.000119226.html,2023-05-22 20:30:26,"",""
株式会社ウカ,小林　西山　北田　古賀,03-5843-0429,tokyo-office@uka.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000288.000050026.html,2023-05-22 20:31:00,"",""
一般社団法人全国心理業連合会,高溝,03-3400-3737,info@mhea.or.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000055.000038923.html,2023-05-22 20:33:54,"",""
株式会社ナチュラルサイエンス,"",03-5665-2311,info@i-flow.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000029.000024770.html,2023-05-22 20:36:18,"",""
株式会社ユーグレナ,芦田、畑,03-3453-4907,press@euglena.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000453.000036462.html,2023-05-22 20:37:52,"",""
シオノギヘルスケア株式会社,荒木・山田,06-6202-2770,shionogi@bil.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000048.000048538.html,2023-05-22 20:41:54,"",""
一般社団法人日本補聴器販売店協会,西村,03-3258-5964,secre@jhida.org　FAX：03-3258-9033,ビューティー,https://prtimes.jp/main/html/rd/p/000000013.000022580.html,2023-05-22 20:42:58,"",""
株式会社レバレッジ,吉田,03-6455-0045,pr@lev.co.jp 電話：03-6455-6455 FAX：03-6455-0046,ビューティー,https://prtimes.jp/main/html/rd/p/000000300.000024045.html,2023-05-22 20:43:57,"",""
鎌倉インターナショナル株式会社,岡田 浩弥,080-3387-6157,info@kamakura-inter.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000090.000061950.html,2023-05-22 20:44:32,"",""
株式会社アデランス,"",03-3350-3111,pr@aderans.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000785.000010292.html,2023-05-22 20:46:07,"",""
株式会社グッピーズ,大崎,03-5908-3880,osaki@guppy.co.jp　Twitter：@osaki_guppys,ビューティー,https://prtimes.jp/main/html/rd/p/000000017.000105394.html,2023-05-22 20:48:40,"",""
株式会社そごう・西武,増山・小室・佐藤・花篭,"",minori-masuyama@sogo-seibu.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000001480.000031382.html,2023-05-22 20:49:11,"",""
株式会社コーセー（戦略ブランド事業部）,"",03-3273-1511,floranotis_pr@kose.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000070.000047340.html,2023-05-22 20:53:12,"",""
SheepMedical Technologies 株式会社,"",03-5422-3250,r.tsuchiya@kireilign.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000039.000111870.html,2023-05-22 20:53:42,"",""
株式会社TENTIAL,吉本,03-6455-2921,pr@tential.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000175.000032370.html,2023-05-22 20:54:12,"",""
ロクシタンジャポン株式会社,"",03-3234-6966,PR.ja-jp@loccitane.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000412.000011965.html,2023-05-22 20:54:45,"",""
オルヴェオングローバルジャパン株式会社,"","",pr@bareminerals.email,ビューティー,https://prtimes.jp/main/html/rd/p/000000109.000076934.html,2023-05-22 20:55:10,"",""
株式会社NO CAP,"","",ttakahashi@nocap.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000006.000108734.html,2023-05-22 20:56:44,"",""
ワークアット株式会社,田中,"",info@workat.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000013.000061211.html,2023-05-22 20:57:21,"",""
ALTBASH株式会社,尾熊,03-3375-7501,info@altbash.io,ビューティー,https://prtimes.jp/main/html/rd/p/000000035.000115491.html,2023-05-22 20:57:51,"",""
アンビデクストラス株式会社,大西,"",info@starray-p.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000003.000107507.html,2023-05-22 21:01:22,"",""
株式会社ネイチャーリパブリックジャパン,"",03-4571-0035,suzuki.a@naturerepublic.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000037.000083228.html,2023-05-22 21:02:54,"",""
株式会社白寿生科学研究所,成瀬（なるせ）,03-5478-8910,naruse@hakuju.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000009.000078951.html,2023-05-22 21:04:52,"",""
クラシエ薬品株式会社,"",03-5446-3334,kraciekampo-pr@kyodo-pr.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000049.000072329.html,2023-05-22 21:07:38,"",""
株式会社産業経済新聞社,"",03-3231-7111,fem-care-project@sankei.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000001440.000022608.html,2023-05-22 21:08:10,"",""
アイファイン株式会社,"",03-5050-2989,sakai@ifine.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000001.000121796.html,2023-05-22 21:09:44,"",""
自費研株式会社,名越・齋藤,"",jihiken-pr@sustainable.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000029.000078206.html,2023-05-22 21:10:16,"",""
株式会社SHIBUYA109エンタテイメント,"","",shibuya109_pr@shibuya109.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000227.000033586.html,2023-05-22 21:11:17,"",""
クオン株式会社,近藤,03-3457-9023,pr@q-o-n.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000087.000023406.html,2023-05-22 21:11:49,"",""
ガルデルマ株式会社,野々村,"",press@one-inc.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000008.000096589.html,2023-05-22 21:12:47,"",""
シック・ジャパン株式会社 (Schick Japan K.K.),"",03-5487-6801,schick-ml@aur.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000079.000055903.html,2023-05-22 21:14:20,"",""
株式会社山下組,専務取締役　山下　翔太朗,075-313-7196,hosha@yamashitagumi.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000001.000120572.html,2023-05-22 21:14:51,"",""
株式会社HEMPRIME,"",050-8881-4155,info@hempmeds-distributor.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000055.000091496.html,2023-05-22 21:15:54,"",""
株式会社ネイチャーズウェイ,PRチーム,052-232-1161,pr@naturesway.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000222.000012734.html,2023-05-22 21:17:30,"",""
株式会社ミュゼプラチナム,内藤・渡辺,03-6628-2080,pr_musee@vectorinc.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000450.000008905.html,2023-05-22 21:18:00,"",""
"VIVAWAVE.Co.,Ltd.",大田／藤本／鈴木,"",hince@vectorinc.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000040.000068659.html,2023-05-22 21:19:03,"",""
株式会社マッシュホールディングス,"",03-3261-2851,https://celvoke.com/,ビューティー,https://prtimes.jp/main/html/rd/p/000002023.000018505.html,2023-05-22 21:20:05,"",""
花王株式会社,待本雅哉）,"",machimoto.masaya@kao.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000292.000070897.html,2023-05-22 21:22:18,"",""
株式会社ジャパン ゲートウェイ,宮本,03-5220-4900,press@j-gateway.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000036.000012724.html,2023-05-22 21:24:25,"",""
株式会社pdc,重田,03-5739-0822,press@p-dc.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000030.000082086.html,2023-05-22 21:24:59,"",""
ダイヤ工業株式会社,藤原,086-282-1217,info@daiyak.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000204.000060537.html,2023-05-22 21:26:07,"",""
株式会社中日新聞社,"",052-201-8811,syuppan@tokyo-np.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000047.000022390.html,2023-05-22 21:27:46,"",""
TANPAC株式会社,山口舞,03-6416-4529,yamaguchi@tanpac.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000023.000106557.html,2023-05-22 21:28:22,"",""
Japan Perfume Studio 株式会社,田中,050-5526-9168,info@japanperfumestudio.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000012.000092301.html,2023-05-22 21:29:27,"",""
株式会社バイソン,及川（070-3874-4264） /　加賀見（070-8792-1091）,"",bp1@materialpr.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000002.000121983.html,2023-05-22 21:30:01,"",""
滋賀丸石自転車販売株式会社,"",0748-62-3334,info@ninjaroma.com 　FAX：0748-62-9909　※本製品はサンプル提供可能です(個数に限りがあります)　レビュー取材やプレゼントパブリシティなど用途と必要個数をご連絡ください。,ビューティー,https://prtimes.jp/main/html/rd/p/000000002.000121610.html,2023-05-22 21:30:37,"",""
HAM合同会社,"",052-526-3537,amishiki.hikaru@hitoyasumi.co,ビューティー,https://prtimes.jp/main/html/rd/p/000000004.000099330.html,2023-05-22 21:31:07,"",""
株式会社Gloent Group Japan,吉崎,03-6747-6000,yoshizaki.shiho@gloentgroup.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000001.000119808.html,2023-05-22 21:32:38,"",""
株式会社カネボウ化粧品,"","",kaobeautybrands@cosmestation.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000548.000016220.html,2023-05-22 21:33:12,"",""
株式会社MERY,"","",haomii+press@mery.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000092.000029212.html,2023-05-22 21:43:07,"",""
一般社団法人ポジティブ心理カウンセラー協会,"",080-1127-3088,offer@positive-counselor.org,ビューティー,https://prtimes.jp/main/html/rd/p/000000015.000116408.html,2023-05-22 21:44:22,"",""
株式会社アクシージア,"",03-6304-5840,info-media@axxzia.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000066.000067650.html,2023-05-22 21:49:28,"",""
株式会社トランジットジェネラルオフィス,"",050-1743-1210,: tgo-press@transit-web.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000192.000040062.html,2023-05-22 21:52:19,"",""
NOSE SHOP株式会社,岸,"",press@noseshop.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000044.000024774.html,2023-05-22 21:55:07,"",""
京阪ホテルズ＆リゾーツ株式会社,"",075-351-0337,bh_press@ml.keihanhotels-resorts.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000271.000083761.html,2023-05-22 21:55:37,"",""
株式会社ネイチャーリパブリックジャパン,山本・岡本・草野,03-4571-0035,yamamoto@boxout.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000038.000083228.html,2023-05-22 21:56:42,"",""
株式会社沁透,佐藤翔安,03-6686-7843,press@cbd-shinto.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000001.000121166.html,2023-05-22 21:59:39,"",""
全研本社株式会社,"","",info@kenkou-job.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000390.000006978.html,2023-05-22 22:03:10,"",""
Amuse Corporation,川村,"",info@seedsmarket.net,ビューティー,https://prtimes.jp/main/html/rd/p/000000003.000115697.html,2023-05-22 22:03:46,"",""
株式会社Smart相談室,三浦）,"",support@smart-sou.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000016.000089158.html,2023-05-22 22:05:57,"",""
株式会社ブレインスリープ,伊藤,"",pr@brain-sleep.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000160.000046684.html,2023-05-22 22:07:06,"",""
公益財団法人日本対がん協会,今井、渡辺,03-3541-4771,office@jcancer.jp　FAX：03-3541-4783,ビューティー,https://prtimes.jp/main/html/rd/p/000000040.000026075.html,2023-05-22 22:10:44,"",""
株式会社バーグマン,"",011-330-4601,r.nakayama@bgman.biz,ビューティー,https://prtimes.jp/main/html/rd/p/000000012.000101384.html,2023-05-22 22:14:37,"",""
caname株式会社,椎原海斗,03-6381-6269,kaito.shiihara@caname.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000148.000060073.html,2023-05-22 22:15:25,"",""
株式会社ビーアンドエス・コーポレーション,佐藤,"",t-sato@bandscorp.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000007.000094031.html,2023-05-22 22:15:47,"",""
カルテック株式会社,"",06-6244-0760,kouhou@kaltec.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000034.000058313.html,2023-05-22 22:20:20,"",""
株式会社JIMOS,宮本,092-303-8500,moritaya_pr@jimos.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000219.000056376.html,2023-05-22 22:20:56,"",""
社会福祉法人　聖隷福祉事業団,吉田・鈴木・美和,053-413-3300,hoken-keieikanri@sis.seirei.or.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000096.000077508.html,2023-05-22 22:21:27,"",""
株式会社テクノーブル,小泉勇樹,06-6538-2595,koizumi@technoble.co.jp　FAX：06-6538-2597,ビューティー,https://prtimes.jp/main/html/rd/p/000000007.000080606.html,2023-05-22 22:23:44,"",""
株式会社シーズマーケット,川村,03-5050-2140,info@seedsmarket.net,ビューティー,https://prtimes.jp/main/html/rd/p/000000150.000033507.html,2023-05-22 22:24:20,"",""
MSP JAPAN有限会社,先浜　万里子,043-376-7187,press@lihn.net,ビューティー,https://prtimes.jp/main/html/rd/p/000000003.000097951.html,2023-05-22 22:24:56,"",""
株式会社神戸製鋼所,近藤 洋至（こんどう　ひろゆき）,"",kondo.hiroyuki@kobelco.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000021.000107205.html,2023-05-22 22:25:35,"",""
株式会社ネイチャーズウェイ,"",052-232-1161,nwpr@naturesway.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000223.000012734.html,2023-05-22 22:28:14,"",""
タカラベルモント株式会社,"",06-6211-2831,seesaw_pr@pa-c.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000001.000120514.html,2023-05-22 22:28:44,"",""
楽天グループ株式会社,"","",rakuten-ichibapr@mail.rakuten.com,ビューティー,https://prtimes.jp/main/html/rd/p/000001960.000005889.html,2023-05-22 22:29:39,"",""
株式会社ヴィークレア,岩田・長尾,"",vicrea@vectorinc.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000083.000022090.html,2023-05-22 22:30:10,"",""
一般社団法人ALA日本セルフチューニング協会,尾杉（オスギ）,"",ala_pr@watashitachi.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000001.000121653.html,2023-05-22 22:31:53,"",""
株式会社ファミワン,"",080-2243-6995,info@famione.com　TEL：080-2243-6995,ビューティー,https://prtimes.jp/main/html/rd/p/000000227.000014333.html,2023-05-22 22:33:06,"",""
株式会社Wanget,"",03-6805-0286,info@wanget.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000015.000067421.html,2023-05-22 22:33:47,"",""
株式会社スピック,"",0467-60-4601,k-kobayashi@spic.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000072.000016172.html,2023-05-22 22:35:02,"",""
フィンクス合同会社,及川,"",oikawa@phinx.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000002.000121063.html,2023-05-22 22:35:39,"",""
株式会社マツキヨココカラ＆カンパニー,"",03-6672-7808,mkccpr@matsukiyococokara.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000068.000031551.html,2023-05-23 02:52:19,"",""
株式会社ヘアジニアス・ラボラトリーズ,小原・播磨,"",hairgPR@vectorinc.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000032.000016846.html,2023-05-23 02:54:05,"",""
&sauna実行委員会,"","",andsauna@uhb.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000001.000121484.html,2023-05-23 02:54:35,"",""
株式会社ＲＤサポート,清⽔,03-6631-7300,rdpr@rdsupport.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000004.000112398.html,2023-05-23 02:55:41,"",""
LVMHフレグランスブランズ株式会社,"",03-3264-3941,pr.jpn@lvmhfb.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000307.000002434.html,2023-05-23 02:56:11,"",""
株式会社よーじや,"",075-253-1707,kouhou@yojiya.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000118.000068863.html,2023-05-23 02:56:46,"",""
フラクタルワークアウト株式会社,　山田,03-6721-0255,info3@fractal-workout.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000006.000118106.html,2023-05-23 02:58:37,"",""
日本メナード化粧品株式会社,山本（やまもと）,052-531-6263,k-info@menard.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000051.000048666.html,2023-05-23 03:00:16,"",""
株式会社PIF,]山下:070-8792-1098 山本:070-3621-8685,06-6536-7605,bp1@materialpr.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000055.000053383.html,2023-05-23 03:00:50,"",""
メゾンレクシア株式会社,鹿子生（ｶｺｵ)・吉田,06-6448-0130,info@nv-pr.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000008.000102193.html,2023-05-23 03:02:46,"",""
株式会社サイエンス・サプリ,渡邉優子,03-6228-7751,y.watanabe@s-suppli.co.jp FAX：03-6228-7752,ビューティー,https://prtimes.jp/main/html/rd/p/000000001.000118267.html,2023-05-23 03:03:52,"",""
natural tech株式会社,竹内,"",pr@naturaltech.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000038.000042157.html,2023-05-23 03:05:10,"",""
株式会社アイセイ,"",06-6327-3790,support@aiseis.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000080.000018275.html,2023-05-23 03:05:46,"",""
株式会社パーク,佐々木・友永,03-6883-3172,logic-support@parkinc.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000020.000058592.html,2023-05-23 03:06:58,"",""
奏波,"",06-6944-2783,info@kanaha-beauty.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000006.000107519.html,2023-05-23 03:07:38,"",""
"High Altitude Management Co., Ltd.","",03-6912-1820,info@high-alti.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000045.000023729.html,2023-05-23 03:13:35,"",""
合同会社Tokyo Brain Studio,"","",info@tokyo-brain-studio.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000004.000105528.html,2023-05-23 03:15:33,"",""
株式会社tresco,北原,03-3297-9555,flower@tresco.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000005.000072223.html,2023-05-23 03:16:48,"",""
株式会社T.M.Community,福田 尚広,050-3703-5656,support@diet-cafe.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000002.000050143.html,2023-05-23 03:18:02,"",""
株式会社チェントトレンタ,"",054-340-2026,info@materiaprima.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000006.000108879.html,2023-05-23 03:18:39,"",""
株式会社IGSA,"","",marketing@igsa.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000002.000122054.html,2023-05-23 03:19:19,"",""
株式会社世田谷自然食品,への取材が可能です。,"",info_pr@shizensyokuhin.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000101.000011853.html,2023-05-23 03:19:53,"",""
SBC メディカルグループ株式会社,"",050-5865-5940,recruit@sbc.or.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000087.000097803.html,2023-05-23 03:20:28,"",""
株式会社アクシージア,谷口、丸山,03-6304-5840,press@one-inc.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000065.000067650.html,2023-05-23 03:23:52,"",""
株式会社マクスタート,遠藤,050-3204-1843,endo@maxtart-inc.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000012.000051595.html,2023-05-23 03:25:41,"",""
株式会社ワールドプラス,"",06-6630-7261,yamamoto@tankpr.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000010.000110917.html,2023-05-23 03:28:33,"",""
株式会社薄毛の窓口,"","",info@usugenomadoguchi.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000006.000109639.html,2023-05-23 03:29:12,"",""
株式会社b-ex,出口・宮野,03-6757-4080,bex_pr@prap.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000163.000015244.html,2023-05-23 03:29:46,"",""
株式会社ピアラ,"",03-6362-6831,press@piala.co.jp ／ TEL：03-6362-6833,ビューティー,https://prtimes.jp/main/html/rd/p/000000172.000012491.html,2023-05-23 03:30:21,"",""
株式会社モリヤマ,　小椋,03-3295-5801,pr★moriyama-inc.com(★を＠に変換してください),ビューティー,https://prtimes.jp/main/html/rd/p/000000004.000101918.html,2023-05-23 03:33:30,"",""
株式会社プロティア・ジャパン,山﨑梨奈・ハモンド百合絵,03-6361-1500,: press@protea.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000098.000052180.html,2023-05-23 03:34:41,"",""
株式会社クロア,高橋,03-5436-1960,support@croix.asia,ビューティー,https://prtimes.jp/main/html/rd/p/000000325.000068516.html,2023-05-23 03:36:24,"",""
シルクドリバー株式会社,祖川（そがわ）,06-6147-2910,press@silkderiver.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000005.000099929.html,2023-05-23 03:37:41,"",""
ジョンソンヘルスケア株式会社,"",06-6949-8797,info@johnson-hc.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000015.000024291.html,2023-05-23 03:40:17,"",""
株式会社ネイチャーラボ,柳川,03-5774-8866,yanagawa@pa-c.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000400.000017718.html,2023-05-23 03:42:47,"",""
株式会社かならぼ,大谷・勝本・山本,03-6277-3994,ohtani-n@kana-labo.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000026.000035288.html,2023-05-23 03:43:59,"",""
株式会社エイツ,"",03-6416-3275,press@steiasur.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000001.000121197.html,2023-05-23 03:45:45,"",""
日本ロレアル株式会社,種橋・新井・岸本・山下,03-6911-8423,inoa_lp@vectorinc.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000058.000043283.html,2023-05-23 03:50:42,"",""
株式会社ゼロワンブースター,岩本(080-9880-1736)、園田(070-7522-1096),03-6435-5360,bp1@materialpr.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000519.000016550.html,2023-05-23 03:51:16,"",""
株式会社MONNALI,　川原,080-1731-7209,pr@monnali.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000033.000093106.html,2023-05-23 03:53:33,"",""
ザボディショップジャパン株式会社,"","",jp.pr-info@thebodyshop.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000160.000019887.html,2023-05-23 03:54:41,"",""
日本ロレアル株式会社,"","",corpjpYSLPR@loreal.com,ビューティー,https://prtimes.jp/main/html/rd/p/000000239.000032072.html,2023-05-23 03:55:16,"",""
株式会社Filament,比嘉,0985-77-9233,release@iii-three.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000002.000117394.html,2023-05-23 03:55:57,"",""
貝印株式会社,大間知・森川・横山・登坂,"",kai_pr@vectorinc.co.jp,ビューティー,https://prtimes.jp/main/html/rd/p/000000449.000025105.html,2023-05-23 03:56:35,"",""
スリーアール株式会社,前本,092-441-4056,pr@3rrr-hd.jp　FAX：092-260-8506,ビューティー,https://prtimes.jp/main/html/rd/p/000000030.000111100.html,2023-05-23 04:00:23,"",""
株式会社山忠,坪谷,0120-83-0500,pr@yamachu.net,ビューティー,https://prtimes.jp/main/html/rd/p/000000024.000069008.html,2023-05-23 04:00:56,"",""
