会社名,prtimesのURL,メールアドレス,電話番号,担当者,カテゴリ,日時,連絡禁止,初回アポ済み
株式会社ハート出版,https://prtimes.jp/main/html/rd/p/000000101.000049367.html,editor3@810.co.jp,03-3590-6077,"",エンタメ,2023-07-25 11:19:35,"",""
株式会社文化放送,https://prtimes.jp/main/html/rd/p/000000207.000007381.html,aida@joqr.co.jp,03-5403-1111,"",エンタメ,2023-07-25 11:19:42,"",""
株式会社海馬,https://prtimes.jp/main/html/rd/p/000000015.000105910.html,iju@city.fukui-sakai.lg.jp,090-2314-4748,kitamura77@gmail.com,エンタメ,2023-07-25 11:19:48,"",""
株式会社ベスプラ,https://prtimes.jp/main/html/rd/p/000000083.000007987.html,info@bspr.co.jp,"","",ビューティー,2023-07-25 11:34:44,"",""
暮らしっく村株式会社,https://prtimes.jp/main/html/rd/p/000000001.000125493.html,wh_press@wellnesshamlet.com,0475-47-2871,"",ビューティー,2023-07-25 11:34:52,"",""
株式会社サティス製薬,https://prtimes.jp/main/html/rd/p/000000080.000002821.html,pr@saticine-md.co.jp,048-984-6433,藤本景子,ビューティー,2023-07-25 11:34:56,"",""
株式会社storage,https://prtimes.jp/main/html/rd/p/000000024.000071194.html,pr@storage-group.co.jp,03-6712-7527,"",ビューティー,2023-07-25 11:35:20,"",""
Dr.ルルルン株式会社,https://prtimes.jp/main/html/rd/p/000000171.000017608.html,lululun_pr@dr-lululun.com,03-5778-0408,押田,ビューティー,2023-07-25 11:35:27,"",""
株式会社京福堂,https://prtimes.jp/main/html/rd/p/000000027.000098890.html,press@kyoufukudou.jp,06-6449-3460,　　　：森川 芳乃(もりかわ よしの),ビューティー,2023-07-25 11:35:33,"",""
トキリン株式会社,https://prtimes.jp/main/html/rd/p/000000004.000116357.html,info@tkilyn.co.jp,"","",ビューティー,2023-07-25 11:35:38,"",""
ミツフジ株式会社,https://prtimes.jp/main/html/rd/p/000000062.000020122.html,pr@mitsufuji.co.jp,"","",ビューティー,2023-07-25 11:35:43,"",""
株式会社MALOU,https://prtimes.jp/main/html/rd/p/000000008.000100287.html,info@concioacademy.com,"","",ビューティー,2023-07-25 11:36:07,"",""
株式会社クラシックス,https://prtimes.jp/main/html/rd/p/000000002.000125894.html,press@classix-inc.com,03-5422-9896,原田たかこ,ビューティー,2023-07-25 11:36:12,"",""
有限会社ダヴィンチクリエイト,https://prtimes.jp/main/html/rd/p/000000004.000079988.html,davincicreate@nifty.com,090-8890-6789,直通：０９０－８８９０－６７８９,ビューティー,2023-07-25 11:36:17,"",""
株式会社REJUVENATE,https://prtimes.jp/main/html/rd/p/000000007.000115131.html,personalgym.revina@gmail.com,090-4243-3895,中島歩紀　personalgym.revina@gmail.com,ビューティー,2023-07-25 11:36:27,"",""
株式会社KoLabo,https://prtimes.jp/main/html/rd/p/000000002.000112493.html,kolabo@color.zaq.jp,"",： 田中,ビューティー,2023-07-25 11:36:31,"",""
株式会社アクトビ,https://prtimes.jp/main/html/rd/p/000000004.000126267.html,info@actbelabo.jp,028-666-0790,"",ファッション,2023-07-25 11:41:16,"",""
日進ゴム株式会社,https://prtimes.jp/main/html/rd/p/000000006.000057480.html,y-watanabe@nisshinrubber.co.jp,086-243-2456,"",ファッション,2023-07-25 11:41:37,"",""
LINK SPIRITS株式会社,https://prtimes.jp/main/html/rd/p/000000002.000120314.html,info@link-spirits.jp,050-3593-4424,"",ライフスタイル,2023-07-25 11:46:29,"",""
まなびナビ合同会社,https://prtimes.jp/main/html/rd/p/000000002.000121165.html,manavi@mana-navigation.com,"",中河西（なこうさい）,ライフスタイル,2023-07-25 11:46:48,"",""
BABY JOB株式会社,https://prtimes.jp/main/html/rd/p/000000096.000038762.html,n.azuma@baby-job.com,06-4862-7193,東（あずま）,ライフスタイル,2023-07-25 11:48:23,"",""
株式会社カカクコム,https://prtimes.jp/main/html/rd/p/000000919.000001455.html,pr@lclco.com,"",藤田,ライフスタイル,2023-07-25 11:48:29,"",""
株式会社イグアス,https://prtimes.jp/main/html/rd/p/000000008.000081688.html,info@akiradrive.com,"",　： 中村(なかむら),ライフスタイル,2023-07-25 11:48:47,"",""
株式会社さくらさくみらい,https://prtimes.jp/main/html/rd/p/000000019.000071467.html,pr@sakura-39.jp,03-6457-9539,徳永,ライフスタイル,2023-07-25 11:48:55,"",""
NPO法人eboard,https://prtimes.jp/main/html/rd/p/000000013.000070582.html,support@eboard.jp,050-3201-1205,"",ライフスタイル,2023-07-25 11:49:17,"",""
株式会社AirX,https://prtimes.jp/main/html/rd/p/000000162.000028531.html,support@airos.co.jp,050-1745-1498,"",ライフスタイル,2023-07-25 11:49:32,"",""
株式会社LivePark,https://prtimes.jp/main/html/rd/p/000000113.000016368.html,press@livepark.co.jp,"",遠藤）,ライフスタイル,2023-07-25 11:50:56,"",""
株式会社 英瑞 A-Z CORPORATION,https://prtimes.jp/main/html/rd/p/000000018.000046742.html,nishina@bouquet-inc.co.jp,03-6721-1230,仁科　朋子　 nishina@bouquet-inc.co.jp,ライフスタイル,2023-07-25 11:51:38,"",""
インタラクティブ株式会社,https://prtimes.jp/main/html/rd/p/000000033.000014652.html,pr@inta.co.jp,098-988-1572,加藤 英明,ライフスタイル,2023-07-25 11:51:51,"",""
名古屋ヒルトン株式会社,https://prtimes.jp/main/html/rd/p/000000074.000034342.html,naghi_pr@hilton.com,052-212-1111,"",ライフスタイル,2023-07-25 11:52:02,"",""
株式会社京都やま六,https://prtimes.jp/main/html/rd/p/000000001.000124303.html,koho@kyoto-yamaroku.co.jp,"",　茂野・堤,ライフスタイル,2023-07-25 11:52:19,"",""
株式会社ガネーシャ,https://prtimes.jp/main/html/rd/p/000000046.000087376.html,ayano.ganesha@gmail.com,076-491-5677,　岩崎》,ライフスタイル,2023-07-25 11:52:45,"",""
株式会社ゼウス,https://prtimes.jp/main/html/rd/p/000000023.000096461.html,sales@cardservice.co.jp,03-3498-9030,"",ライフスタイル,2023-07-25 11:53:22,"",""
株式会社 ピエール マルコリーニ ジャパン,https://prtimes.jp/main/html/rd/p/000000031.000086914.html,fumie.emori@pierremarcolini.com,03-4361-2237,江森 e-mail: fumie.emori@pierremarcolini.com　mobile: 070-8823-3920,ライフスタイル,2023-07-25 11:53:26,"",""
株式会社TERRA NOVA,https://prtimes.jp/main/html/rd/p/000000015.000069223.html,info@terra-nova.co.jp,"","",ライフスタイル,2023-07-25 11:53:36,"",""
ブルームバーグ エル・ピー,https://prtimes.jp/main/html/rd/p/000000156.000012467.html,ac-bloomberg@ashton.jp,03-3201-8900,"",ライフスタイル,2023-07-25 11:54:01,"",""
株式会社NOVIC,https://prtimes.jp/main/html/rd/p/000000035.000071030.html,r-kouzai@novic-w.jp,0570-08-3150,香西,ライフスタイル,2023-07-25 11:54:37,"",""
スタイルアクト株式会社,https://prtimes.jp/main/html/rd/p/000000268.000007875.html,pr@styleact.co.jp,03-5537-6333,"",ライフスタイル,2023-07-25 11:54:40,"",""
月島食品工業株式会社,https://prtimes.jp/main/html/rd/p/000000008.000100609.html,m-kondo@tsukishima.co.jp,03-3686-1221,近藤、北口,ライフスタイル,2023-07-25 11:55:03,"",""
株式会社千鳥饅頭総本舗,https://prtimes.jp/main/html/rd/p/000000007.000051738.html,info@chidoriya.co.jp,092-941-5050,田中　一希,ライフスタイル,2023-07-25 11:55:27,"",""
ジェイグラブ株式会社,https://prtimes.jp/main/html/rd/p/000000047.000004973.html,pr@j-grab.co.jp,03-5728-2095,"",ライフスタイル,2023-07-25 11:55:44,"",""
株式会社KEC Miriz,https://prtimes.jp/main/html/rd/p/000000008.000091415.html,info@programming-cloud.com,06-6624-2120,"",ライフスタイル,2023-07-25 11:55:50,"",""
株式会社リップスカンパニー,https://prtimes.jp/main/html/rd/p/000000004.000116679.html,mail@lipscompany.co.jp,06-6421-7332,"",ライフスタイル,2023-07-25 11:56:39,"",""
三菱ＵＦＪ信託銀行株式会社,https://prtimes.jp/main/html/rd/p/000000088.000036656.html,marina_shibazaki@tr.mufg.jp,03-3212-1211,"",ライフスタイル,2023-07-25 11:56:57,"",""
株式会社シノケングループ,https://prtimes.jp/main/html/rd/p/000000057.000046438.html,skg_pr@shinoken.co.jp,092-714-0040,"",ライフスタイル,2023-07-25 11:57:32,"",""
株式会社ITSUDATSU,https://prtimes.jp/main/html/rd/p/000000022.000054057.html,domu.kumagai@itsudatsu.com,"",熊谷：domu.kumagai@itsudatsu.com,ライフスタイル,2023-07-25 11:57:49,"",""
一般社団法人SILVER STAR,https://prtimes.jp/main/html/rd/p/000000006.000105128.html,fujinawadaiju@gmail.com,"","",ライフスタイル,2023-07-25 11:58:08,"",""
株式会社バラの学校,https://prtimes.jp/main/html/rd/p/000000015.000104299.html,t_nakai@baranogakkou.co.jp,0470-29-5800,"",ライフスタイル,2023-07-25 11:58:37,"",""
特定非営利活動法人みんなの進路委員会,https://prtimes.jp/main/html/rd/p/000000006.000107546.html,minnanoshinro2021@gmail.com,070-6551-8521,"",ライフスタイル,2023-07-25 11:59:04,"",""
株式会社ダイナム,https://prtimes.jp/main/html/rd/p/000000422.000013913.html,dynam_koho@dynam.co.jp,03-3807-8111,"",ライフスタイル,2023-07-25 11:59:15,"",""
一般社団法人信州千曲観光局,https://prtimes.jp/main/html/rd/p/000000006.000104936.html,tada@chikuma-kanko.com,026-261-0300,多田 空太,ライフスタイル,2023-07-25 11:59:25,"",""
株式会社渡辺教具製作所,https://prtimes.jp/main/html/rd/p/000000001.000122683.html,contact@blue-terra.jp,048-936-0339,中村洋一,ライフスタイル,2023-07-25 12:00:09,"",""
株式会社トライバルメディアハウス,https://prtimes.jp/main/html/rd/p/000000188.000004355.html,pr@tribalmedia.co.jp,03-6260-6628,"",ライフスタイル,2023-07-25 12:00:27,"",""
株式会社アドレス,https://prtimes.jp/main/html/rd/p/000000042.000040352.html,press@address.love,"",（桜井・狩野）,ライフスタイル,2023-07-25 12:00:34,"",""
株式会社ロックビル,https://prtimes.jp/main/html/rd/p/000000038.000027737.html,support@rockvill.co.jp,03-4510-7439,岡村,ライフスタイル,2023-07-25 12:00:53,"",""
株式会社マイタウン,https://prtimes.jp/main/html/rd/p/000000010.000082723.html,s.l.m@asaka-mytown.co.jp,048-470-5600,阿部,ライフスタイル,2023-07-25 12:01:27,"",""
株式会社キャリアボット,https://prtimes.jp/main/html/rd/p/000000016.000077934.html,k_okazaki@careerbot.tokyo,"","",ライフスタイル,2023-07-25 12:01:54,"",""
株式会社AirX,https://prtimes.jp/main/html/rd/p/000000160.000028531.html,fujizono@airx.co.jp,050-1745-1498,藤園（ふじぞの）,ライフスタイル,2023-07-25 12:02:01,"",""
株式会社エイトブランディングデザイン,https://prtimes.jp/main/html/rd/p/000000019.000019158.html,pr@8brandingdesign.com,03-6447-2878,阪上、佐々木,ライフスタイル,2023-07-25 12:02:08,"",""
株式会社２りんかんイエローハット,https://prtimes.jp/main/html/rd/p/000000015.000026092.html,miku_noguchi.ds@g.yellowhat.co.jp,048-450-7350,"",ライフスタイル,2023-07-25 12:02:13,"",""
フューチャー株式会社,https://prtimes.jp/main/html/rd/p/000000647.000004374.html,forum@future.co.jp,03-5740-5721,石井、松本、清水,ライフスタイル,2023-07-25 12:19:47,"",""
株式会社ACROVE,https://prtimes.jp/main/html/rd/p/000000122.000040239.html,pr@mg.digital-holdings.co.jp,03-6276-5111,　　　： 谷島 (たにしま),ライフスタイル,2023-07-25 12:20:15,"",""
GOSSO株式会社,https://prtimes.jp/main/html/rd/p/000000212.000036476.html,info@pr-office.jp,03-6316-8191,⼤城,ライフスタイル,2023-07-25 12:20:43,"",""
日本テトラパック株式会社,https://prtimes.jp/main/html/rd/p/000000004.000108706.html,press-tetrapak@shapewin.co.jp,"","",ライフスタイル,2023-07-25 12:20:49,"",""
一般社団法人日本ディープラーニング協会,https://prtimes.jp/main/html/rd/p/000000158.000028865.html,pr@jdla.org,090-2453-9537,"",ライフスタイル,2023-07-25 12:21:09,"",""
株式会社SIGNING,https://prtimes.jp/main/html/rd/p/000000027.000097754.html,press@signing.co.jp,03-4236-4981,塚越・中山・三浦,ライフスタイル,2023-07-25 12:21:24,"",""
株式会社東京かんかん,https://prtimes.jp/main/html/rd/p/000000002.000100911.html,noemi.ogawa@kankan.co,03-5486-3123,小川,ライフスタイル,2023-07-25 12:21:54,"",""
InterContinental Danang Sun Peninsula Resort,https://prtimes.jp/main/html/rd/p/000000001.000125301.html,john.hamilton1@ihg.com,"","",ライフスタイル,2023-07-25 12:22:00,"",""
壹寸株式会社,https://prtimes.jp/main/html/rd/p/000000004.000070702.html,business@issun.co.jp,"","",ライフスタイル,2023-07-25 12:22:06,"",""
株式会社あしたの寺子屋,https://prtimes.jp/main/html/rd/p/000000026.000072875.html,gorai@worg.co.jp,080-6063-5326,"",ライフスタイル,2023-07-25 12:22:22,"",""
株式会社ファイナンスアイ,https://prtimes.jp/main/html/rd/p/000000001.000125953.html,press1@financeeye.net,"",山口,ライフスタイル,2023-07-25 12:22:57,"",""
株式会社デザイナー,https://prtimes.jp/main/html/rd/p/000000003.000103006.html,t.watanabe@designer.co.jp,080-4886-4835,渡部,ライフスタイル,2023-07-25 12:23:58,"",""
株式会社産業経済新聞社,https://prtimes.jp/main/html/rd/p/000001482.000022608.html,metro@sankei.co.jp,03-3231-7111,"",ライフスタイル,2023-07-25 12:24:34,"",""
株式会社CIRCUS,https://prtimes.jp/main/html/rd/p/000000026.000077175.html,al-nassr-japantour2023-mediainfo@circus-inc.com,03-6277-7418,］藤田（ 070-8792-1096 ）菅原（ 070-7789-2815） 澤本（ 070-4573-2226）,ライフスタイル,2023-07-25 12:28:29,"",""
株式会社コズミックマーケティング,https://prtimes.jp/main/html/rd/p/000000010.000104470.html,cosmic.mizoue@gmail.com,06-6312-7479,堀江,ライフスタイル,2023-07-25 12:29:50,"",""
オイシーズ株式会社,https://prtimes.jp/main/html/rd/p/000000010.000048178.html,eigyokikaku@oishes.com,"",渡辺（ワタナベ）,ライフスタイル,2023-07-25 12:30:11,"",""
wackwack creative株式会社,https://prtimes.jp/main/html/rd/p/000000035.000012776.html,info@wackwack.jp,"",井川,ライフスタイル,2023-07-25 12:31:15,"",""
アンドスピリッツ株式会社,https://prtimes.jp/main/html/rd/p/000000023.000088448.html,press@andspirits.com,03-6416-5417,"",ライフスタイル,2023-07-25 12:32:01,"",""
チムニー株式会社,https://prtimes.jp/main/html/rd/p/000000058.000062344.html,kikuchi@chimney.co.jp,03-5839-2600,菊池（メールアドレス：kikuchi@chimney.co.jp）,ライフスタイル,2023-07-25 12:32:35,"",""
株式会社オークラ ニッコー ホテルマネジメント,https://prtimes.jp/main/html/rd/p/000001809.000005118.html,m-matsuoka@kyotohotel.co.jp,03-6685-8995,松岡,ライフスタイル,2023-07-25 12:32:52,"",""
株式会社PURCHASE,https://prtimes.jp/main/html/rd/p/000000005.000078555.html,contact@purchaseinc.jp,"",大石,ライフスタイル,2023-07-25 12:33:04,"",""
ヤマモリ株式会社,https://prtimes.jp/main/html/rd/p/000000021.000113050.html,h_yasumoto@yamamori.co.jp,0594-33-3860,"",ライフスタイル,2023-07-25 12:33:38,"",""
日研トータルソーシング株式会社,https://prtimes.jp/main/html/rd/p/000000021.000086798.html,info@nikken-ts.jp,"","",ライフスタイル,2023-07-25 12:33:50,"",""
株式会社リクルート,https://prtimes.jp/main/html/rd/p/000002148.000011414.html,tanakamura@r.recruit.co.jp,"","",ライフスタイル,2023-07-25 12:34:30,"",""
株式会社レオパレス21,https://prtimes.jp/main/html/rd/p/000000609.000005429.html,kouhou@leopalace.ne.jp,03-5350-0445,"",ライフスタイル,2023-07-25 12:34:46,"",""
株式会社こどもりびんぐ,https://prtimes.jp/main/html/rd/p/000000283.000057067.html,research@kodomoliving.co.jp,03-5244-5761,"",ライフスタイル,2023-07-25 12:35:33,"",""
株式会社 明日香,https://prtimes.jp/main/html/rd/p/000000101.000043389.html,asuka@ideatech.jp,03-6912-0015,福澤・天本,ライフスタイル,2023-07-25 12:35:47,"",""
ペッツオーライ株式会社,https://prtimes.jp/main/html/rd/p/000000009.000078906.html,pr@petsallright.net,050-5491-6551,坪谷,ライフスタイル,2023-07-25 12:36:19,"",""
株式会社エフピコ,https://prtimes.jp/main/html/rd/p/000000082.000081943.html,chupasomu@cph.fpco-net.co.jp,03-5320-0717,阿部洋,ライフスタイル,2023-07-25 12:37:56,"",""
株式会社YAMABISHI,https://prtimes.jp/main/html/rd/p/000000017.000071131.html,h-ko@yamabishi.co.jp,03-3767-8861,"",ビジネス,2023-07-25 12:38:12,"",""
静岡県,https://prtimes.jp/main/html/rd/p/000000282.000079445.html,zeimu@pref.shizuoka.lg.jp,054-221-2976,杉浦,ビジネス,2023-07-25 12:38:17,"",""
Ocean Journeys LLC,https://prtimes.jp/main/html/rd/p/000000009.000026890.html,yui@andyoucreations.com,"",ソロモン佑衣,ビジネス,2023-07-25 12:38:26,"",""
株式会社FINジェント,https://prtimes.jp/main/html/rd/p/000000006.000109886.html,info@funin-fch.net,06-7777-2610,石田,ビジネス,2023-07-25 12:40:29,"",""
家樹株式会社,https://prtimes.jp/main/html/rd/p/000000002.000110456.html,contact@ka-ju.co.jp,03-4500-1314,稲留栄城,ビジネス,2023-07-25 12:42:29,"",""
ユニツール株式会社,https://prtimes.jp/main/html/rd/p/000000001.000125932.html,info@unitool.co.jp,042-376-8747,園原空良,ビジネス,2023-07-25 12:42:38,"",""
株式会社ソミックマネージメントホールディングス,https://prtimes.jp/main/html/rd/p/000000024.000049368.html,pr-smhd@somic.co.jp,"","",ビジネス,2023-07-25 12:42:46,"",""
MoonBase株式会社,https://prtimes.jp/main/html/rd/p/000000012.000084391.html,rural.labo@gmail.com,070-2823-6536,"",ビジネス,2023-07-25 12:44:40,"",""
株式会社IGLOOO,https://prtimes.jp/main/html/rd/p/000000031.000017490.html,info@igloojapan.com,03-6822-5524,"",ビジネス,2023-07-25 12:44:47,"",""
glassy株式会社,https://prtimes.jp/main/html/rd/p/000000017.000069428.html,z_info@glassy-co.jp,03-3632-4818,"",ビジネス,2023-07-25 12:45:15,"",""
株式会社DeepX,https://prtimes.jp/main/html/rd/p/000000010.000029009.html,info@deepx.co.jp,03-6240-0261,"",ビジネス,2023-07-25 12:46:52,"",""
株式会社北日本新聞社,https://prtimes.jp/main/html/rd/p/000000009.000117252.html,f-furukawa@kitanippon.jp,076-445-3300,古川,ビジネス,2023-07-25 12:47:04,"",""
株式会社ＴＢＳラジオ,https://prtimes.jp/main/html/rd/p/000001151.000003392.html,tbsradio-sales@gr.tbs.co.jp,03-3746-1111,"",ビジネス,2023-07-25 12:51:21,"",""
アルー株式会社,https://prtimes.jp/main/html/rd/p/000000093.000052583.html,corp_cp_pr@alue.co.jp,03-6268-9791,"",ビジネス,2023-07-25 12:54:53,"",""
"Guardant Health, Inc.",https://prtimes.jp/main/html/rd/p/000000001.000125378.html,press-japan@guardanthealth.com,"","",ビジネス,2023-07-25 12:55:40,"",""
海と日本プロジェクト広報事務局,https://prtimes.jp/main/html/rd/p/000001776.000077920.html,hitomi@hf-project.co.jp,03-6441-2561,高橋・佐藤,ビジネス,2023-07-25 12:55:52,"",""
アクセンチュア株式会社,https://prtimes.jp/main/html/rd/p/000000386.000019290.html,accenture.jp.media@accenture.com,"","",ビジネス,2023-07-25 12:56:34,"",""
株式会社ISSUE,https://prtimes.jp/main/html/rd/p/000000011.000098689.html,info@issue-inc.com,050-5530-0870,飯田,ビジネス,2023-07-25 12:58:23,"",""
浜松市,https://prtimes.jp/main/html/rd/p/000000288.000049248.html,ieyasu.pj@city.hamamatsu.shizuoka.jp,"",山口、清水、今枝,ビジネス,2023-07-25 12:58:29,"",""
豊中市,https://prtimes.jp/main/html/rd/p/000000498.000078420.html,seishinhoken@city.toyonaka.osaka.jp,06-6858-5050,林　　　ＴＥＬ:06-6152-7315,ビジネス,2023-07-25 12:58:33,"",""
一般社団法人Orange Kids'Care Lab.,https://prtimes.jp/main/html/rd/p/000000001.000125206.html,info@carelab.jp,0776-21-3339,"",ビジネス,2023-07-25 12:58:49,"",""
株式会社映学社,https://prtimes.jp/main/html/rd/p/000000003.000091798.html,flairintl@ray.ocn.ne.jp,"","",ビジネス,2023-07-25 12:59:38,"",""
ベリーベスト弁護士法人,https://prtimes.jp/main/html/rd/p/000000011.000046362.html,web-ad@vbest.jp,03-6234-1585,マーケティング部　安田,ビジネス,2023-07-25 13:00:03,"",""
門真市,https://prtimes.jp/main/html/rd/p/000000033.000078573.html,chi01@city.kadoma.osaka.jp,06-6902-1231,"",ビジネス,2023-07-25 13:00:48,"",""
ティーエスアイ株式会社,https://prtimes.jp/main/html/rd/p/000000011.000058157.html,info@tsi-japan.com,075-257-5715,川尾,ビジネス,2023-07-25 13:01:43,"",""
セブンセンス税理士法人,https://prtimes.jp/main/html/rd/p/000000002.000115699.html,event@002.seventh-sense.co.jp,03-6803-2905,"",ビジネス,2023-07-25 13:02:11,"",""
エスイノベーション株式会社,https://prtimes.jp/main/html/rd/p/000000025.000078978.html,pr@sinnovation.jp,080-6693-3143,星野静香,ビジネス,2023-07-25 13:03:10,"",""
岩手県,https://prtimes.jp/main/html/rd/p/000000053.000079221.html,ka-itoh@pref.iwate.jp,"",高橋,ビジネス,2023-07-25 13:04:23,"",""
ランクセス株式会社,https://prtimes.jp/main/html/rd/p/000000030.000034656.html,lanxess.japan@lanxess.com,03-5293-8000,"",ビジネス,2023-07-25 13:06:16,"",""
ソフトブレーン・サービス株式会社,https://prtimes.jp/main/html/rd/p/000000015.000090096.html,press@softbrain.co.jp,03-6859-5250,"",ビジネス,2023-07-25 13:08:08,"",""
株式会社クロスインハウス,https://prtimes.jp/main/html/rd/p/000000003.000117668.html,nishiyama@xinhouse.co.jp,"","",ビジネス,2023-07-25 13:08:49,"",""
自然電力株式会社,https://prtimes.jp/main/html/rd/p/000000117.000007130.html,se-comm@shizenenergy.net,092-753-9834,（幸野）,ビジネス,2023-07-25 13:09:17,"",""
株式会社みらいワークス,https://prtimes.jp/main/html/rd/p/000000233.000016557.html,ir@mirai-works.co.jp,03-5860-1835,"",ビジネス,2023-07-25 13:09:57,"",""
PLOW,https://prtimes.jp/main/html/rd/p/000000001.000125970.html,s.umezu@thegoldroasters.jp,"",梅津,グルメ,2023-07-25 13:11:11,"",""
株式会社スコープ,https://prtimes.jp/main/html/rd/p/000000064.000060036.html,hello@whywaste-japan.jp,03-3556-7610,"",テクノロジー,2023-07-26 11:01:41,"",""
マイクロンメモリジャパン株式会社,https://prtimes.jp/main/html/rd/p/000000025.000055229.html,ksasso@micron.com,"",（ゴリン株式会社）桝井、大崎 teammjapan-pr@interpublic.com,テクノロジー,2023-07-26 11:01:58,"",""
Pen＆Co.株式会社,https://prtimes.jp/main/html/rd/p/000000002.000123386.html,pr@pen-and.co.jp,070-8335-0262,柴原,テクノロジー,2023-07-26 11:02:22,"",""
株式会社ラフール,https://prtimes.jp/main/html/rd/p/000000223.000042113.html,osawa@lafool.co.jp,03-5643-3707,大澤,テクノロジー,2023-07-26 11:02:58,"",""
株式会社エイシング,https://prtimes.jp/main/html/rd/p/000000051.000026145.html,pr@aising.jp,03-6426-5224,"",テクノロジー,2023-07-26 11:03:30,"",""
株式会社EDUCOM,https://prtimes.jp/main/html/rd/p/000000035.000002574.html,pr@educom.co.jp,0568-35-7601,楢木　TEL：090‐5101‐1056　E-mail：pr@educom.co.jp,テクノロジー,2023-07-26 11:03:40,"",""
株式会社アクラス,https://prtimes.jp/main/html/rd/p/000000001.000124590.html,tama.k@k-aclass.com,06-6966-7464,田間（タマ）,テクノロジー,2023-07-26 11:03:51,"",""
株式会社ウェルス・パートナー,https://prtimes.jp/main/html/rd/p/000000071.000052123.html,info@wp-re.com,03-5797-7182,有泉,テクノロジー,2023-07-26 11:04:03,"",""
株式会社TxTo,https://prtimes.jp/main/html/rd/p/000000001.000122860.html,admin@txto.co.jp,"",近藤・田中,テクノロジー,2023-07-26 11:04:11,"",""
株式会社KAKEAI,https://prtimes.jp/main/html/rd/p/000000119.000041953.html,contact@kakeai.co.jp,03-6721-1176,寺本,テクノロジー,2023-07-26 11:04:23,"",""
株式会社フォーイット,https://prtimes.jp/main/html/rd/p/000000298.000018246.html,afb_partnersupport@for-it.co.jp,03-5728-5865,【afb】パートナーサポート運営事務局,テクノロジー,2023-07-26 11:04:27,"",""
株式会社甲南チケット,https://prtimes.jp/main/html/rd/p/000000002.000109790.html,y-fujio@kounan.com,06-6147-9111,/ 大阪営業本部 藤尾,テクノロジー,2023-07-26 11:04:34,"",""
株式会社K-BIT,https://prtimes.jp/main/html/rd/p/000000004.000103279.html,s_inoue@kbit.co.jp,06-6263-2503,井上尚子,テクノロジー,2023-07-26 11:04:39,"",""
株式会社AoyamaLab,https://prtimes.jp/main/html/rd/p/000000018.000057432.html,info@aoyamalab.co.jp,03-4500-8666,"",テクノロジー,2023-07-26 11:05:13,"",""
株式会社Medii,https://prtimes.jp/main/html/rd/p/000000035.000060898.html,pr@medii.jp,03-6822-4970,森,テクノロジー,2023-07-26 11:05:30,"",""
MNTSQ株式会社,https://prtimes.jp/main/html/rd/p/000000039.000050130.html,pr@mntsq.com,03-6206-2814,"",テクノロジー,2023-07-26 11:05:37,"",""
ペンタセキュリティシステムズ株式会社,https://prtimes.jp/main/html/rd/p/000000041.000032363.html,japan@pentasecurity.com,050-1790-2188,"",テクノロジー,2023-07-26 11:05:46,"",""
株式会社ゼスト,https://prtimes.jp/main/html/rd/p/000000023.000056654.html,pr@zest.jp,03-5542-0542,"",テクノロジー,2023-07-26 11:06:03,"",""
株式会社WOGO,https://prtimes.jp/main/html/rd/p/000000007.000096214.html,shin.koeru@wogo.ai,03-6277-3221,"",テクノロジー,2023-07-26 11:07:45,"",""
エクセルソフト株式会社,https://prtimes.jp/main/html/rd/p/000000101.000068065.html,xlsoftkk@xlsoft.com,03-5440-7875,"",テクノロジー,2023-07-26 11:08:06,"",""
アドバンテック株式会社,https://prtimes.jp/main/html/rd/p/000000091.000073476.html,ajp.iiot.marketing@advantech.com,03-6802-1021,"",テクノロジー,2023-07-26 11:08:36,"",""
パブマティック株式会社,https://prtimes.jp/main/html/rd/p/000000035.000013237.html,alice.ren@pubmatic.com,03-6804-1143,"",テクノロジー,2023-07-26 11:08:47,"",""
株式会社アジケ,https://prtimes.jp/main/html/rd/p/000000032.000003992.html,pr@ajike.co.jp,03-6455-0025,"",テクノロジー,2023-07-26 11:08:51,"",""
ＡＲアドバンストテクノロジ株式会社,https://prtimes.jp/main/html/rd/p/000000022.000066765.html,ari-marketing@ari-jp.com,03-6450-6080,"",テクノロジー,2023-07-26 11:09:26,"",""
Sysdig Japan合同会社,https://prtimes.jp/main/html/rd/p/000000011.000107539.html,reiko.nishii@sysdig.com,"",西井玲子,テクノロジー,2023-07-26 11:10:00,"",""
日本ナレッジ株式会社,https://prtimes.jp/main/html/rd/p/000000009.000039167.html,eigyo@know-net.co.jp,03-3845-4781,茂木],テクノロジー,2023-07-26 11:10:45,"",""
丸八倉庫株式会社,https://prtimes.jp/main/html/rd/p/000000002.000125543.html,support.poppo-storage@maru8.co.jp,03-5620-0809,"",テクノロジー,2023-07-26 11:10:58,"",""
DJI JAPAN 株式会社,https://prtimes.jp/main/html/rd/p/000000269.000015765.html,eri.hatsumura@dji.com,"","",テクノロジー,2023-07-26 11:11:26,"",""
株式会社インフォステラ,https://prtimes.jp/main/html/rd/p/000000030.000021692.html,pr@istellar.com,03-6416-9569,藤田,テクノロジー,2023-07-26 11:11:44,"",""
全研本社株式会社,https://prtimes.jp/main/html/rd/p/000000406.000006978.html,masaki.washiya@zenken.co.jp,"",鷲谷（わしや）,テクノロジー,2023-07-26 11:12:36,"",""
